BOR;AN;nofinesset;nofinessej;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2020;020016242;590799995;1130X;;;;8;33;4944;;;;;
DIALYSE;2020;020017075;590799995;1130X;;;;6;14;2095;;;;;
DIALYSE;2020;020017075;590799995;1140X;;;;2;2;338;;;;;
DIALYSE;2020;030000061;030780092;112BA;;;;12;49;6943;;;;;
DIALYSE;2020;030000061;030780092;TOT;0;;;;;;660;1;;32;0
DIALYSE;2020;030000079;030780100;112BA;;;;16;61;7902;;;;;
DIALYSE;2020;030000079;030780100;122BA;;;;2;0;;;;30;;
DIALYSE;2020;030000079;030780100;TOT;0;;;;;;624;;;38;3
DIALYSE;2020;030000087;030780118;112AX;;;;1;0;105;;;;;
DIALYSE;2020;030000087;030780118;112BA;;;;8;41;7553;;;;;
DIALYSE;2020;030000087;030780118;1130X;;;;4;28;4143;;;;;
DIALYSE;2020;030000087;030780118;1140X;;;;6;13;2212;;;;;
DIALYSE;2020;030000087;030780118;1150A;;;;7;0;1592;;;;;
DIALYSE;2020;030000087;030780118;1210;;;;;15;;;;2897;;
DIALYSE;2020;030000087;030780118;121AA;;;;;15;;;;2279;;
DIALYSE;2020;030000087;030780118;121CA;;;;3;;;;;618;;
DIALYSE;2020;030000087;030780118;122AX;;;;2;;;;;553;;
DIALYSE;2020;030000087;030780118;122BA;;;;4;1;;;;1054;;
DIALYSE;2020;030000087;030780118;TOT;0;;;;;;1228;;;31;14
DIALYSE;2020;030000087;030780118;VACAN;;;;1;0;0;;;;;
DIALYSE;2020;030003669;630000990;112AX;;;;1;3;239;;;;;
DIALYSE;2020;030003669;630000990;1130X;;;;8;23;3174;;;;;
DIALYSE;2020;030003669;630000990;1140X;;;;4;18;2865;;;;;
DIALYSE;2020;030003669;630000990;1150A;;;;1;1;360;;;;;
DIALYSE;2020;030003669;630000990;1210;;;;;17;;;;898;;
DIALYSE;2020;030003669;630000990;121AA;;;;;16;;;;841;;
DIALYSE;2020;030003669;630000990;121CA;;;;3;1;;;;57;;
DIALYSE;2020;030003669;630000990;122AX;;;;0;1;;;;82;;
DIALYSE;2020;030003669;630000990;TOT;0;;;;;;;;;8;1
DIALYSE;2020;030003719;630000990;112AX;;;;1;0;140;;;;;
DIALYSE;2020;030003719;630000990;1130X;;;;6;32;4679;;;;;
DIALYSE;2020;030003719;630000990;1140X;;;;1;0;130;;;;;
DIALYSE;2020;030003719;630000990;TOT;0;;;;;;;;;20;0
DIALYSE;2020;030003768;630000990;112AX;;;;1;2;105;;;;;
DIALYSE;2020;030003768;630000990;1130X;;;;3;28;4143;;;;;
DIALYSE;2020;030003768;630000990;1140X;;;;6;13;2212;;;;;
DIALYSE;2020;030003768;630000990;1150A;;;;5;6;1598;;;;;
DIALYSE;2020;030003768;630000990;1210;;;;;54;;;;2680;;
DIALYSE;2020;030003768;630000990;121AA;;;;;44;;;;2146;;
DIALYSE;2020;030003768;630000990;121CA;;;;8;10;;;;534;;
DIALYSE;2020;030003768;630000990;TOT;0;;;;;;;;;25;14
DIALYSE;2020;040003113;920033503;1130X;;;;7;12;1489;;;;;
DIALYSE;2020;040784860;920033503;112BA;;;;24;92;13942;;;;;
DIALYSE;2020;040784860;920033503;1130X;;;;8;31;4676;;;;;
DIALYSE;2020;040784860;920033503;1150A;;;;1;1;252;;;;;
DIALYSE;2020;040784860;920033503;TOT;1;2;19;;;;422;1;;26;0
DIALYSE;2020;040787541;920033503;1130X;;;;4;4;614;;;;;
DIALYSE;2020;040787541;920033503;1140X;;;;4;5;713;;;;;
DIALYSE;2020;050000231;050000116;112BA;;;;8;44;3715;;;;;
DIALYSE;2020;050000231;050000116;1130X;;;;3;2;466;;;;;
DIALYSE;2020;050000231;050000116;1140X;;;;3;3;386;;;;;
DIALYSE;2020;050000231;050000116;TOT;0;;;;;;135;;;;
DIALYSE;2020;050000348;050002948;112AX;;;;1;1;6;;;;;
DIALYSE;2020;050000348;050002948;112BA;;;;12;53;7130;;;;;
DIALYSE;2020;050000348;050002948;122AX;;;;1;;;;;50;;
DIALYSE;2020;050000348;050002948;TOT;0;;;;;;342;1;;24;4
DIALYSE;2020;050003359;380793802;1130X;;;;3;2;471;;;;;
DIALYSE;2020;050003359;380793802;1140X;;;;3;3;382;;;;;
DIALYSE;2020;050006022;380793802;1130X;;;;6;25;3655;;;;;
DIALYSE;2020;050006022;380793802;1140X;;;;2;5;855;;;;;
DIALYSE;2020;050006022;380793802;1150A;;;;0;0;102;;;;;
DIALYSE;2020;050006022;380793802;1210;;;;;9;;;;252;;
DIALYSE;2020;050006022;380793802;121AA;;;;;6;;;;186;;
DIALYSE;2020;050006022;380793802;121CA;;;;3;3;;;;66;;
DIALYSE;2020;050006022;380793802;122BA;;;;1;0;;;;4;;
DIALYSE;2020;050006022;380793802;TOT;0;;;;;;;;;;
DIALYSE;2020;060000478;060780897;TOT;0;;;;;;3;;;;
DIALYSE;2020;060000544;060780988;112BA;;;;15;42;6502;;;;;
DIALYSE;2020;060000544;060780988;1210;;;;;;;;;735;;
DIALYSE;2020;060000544;060780988;121AA;;;;;;;;;309;;
DIALYSE;2020;060000544;060780988;121CA;;;;1;;;;;426;;
DIALYSE;2020;060000544;060780988;122BA;;;;1;2;;;;23;;
DIALYSE;2020;060000544;060780988;TOT;0;;;;;;693;1;;37;5
DIALYSE;2020;060010949;060790540;1130X;;;;12;58;9684;;;;;
DIALYSE;2020;060010949;060790540;TOT;0;;;;;;0;;;27;0
DIALYSE;2020;060019676;060790540;1130X;;;;2;8;1193;;;;;
DIALYSE;2020;060019676;060790540;1140X;;;;8;27;4130;;;;;
DIALYSE;2020;060021276;060790540;112BA;;;;15;63;9459;;;;;
DIALYSE;2020;060021276;060790540;1130X;;;;16;78;11789;;;;;
DIALYSE;2020;060021276;060790540;TOT;0;;;;;;0;2;;;
DIALYSE;2020;060785003;060785011;112BA;;;;22;102;16426;;;;;
DIALYSE;2020;060785003;060785011;112BE;;;;0;;1;;;;;
DIALYSE;2020;060785003;060785011;1130X;;;;2;;161;;;;;
DIALYSE;2020;060785003;060785011;1210;;;;;1;;;;0;;
DIALYSE;2020;060785003;060785011;121AA;;;;;1;;;;;;
DIALYSE;2020;060785003;060785011;122AX;;;;1;3;;;;0;;
DIALYSE;2020;060785003;060785011;122BA;;;;1;1;;;;50;;
DIALYSE;2020;060785003;060785011;TOT;0;;;;;;740;4;;35;7
DIALYSE;2020;060789195;060785011;112BA;;;;0;;15;;;;;
DIALYSE;2020;060789195;060785011;112BE;;;;2;8;445;;;;;
DIALYSE;2020;060789195;060785011;1210;;;;;2;;;;;;
DIALYSE;2020;060789195;060785011;121CE;;;;;2;;;;;;
DIALYSE;2020;060789195;060785011;122AX;;;;;1;;;;0;;
DIALYSE;2020;060789195;060785011;122BE;;;;;2;;;;;;
DIALYSE;2020;060789195;060785011;TOT;0;;;;;;131;0;;1;0
DIALYSE;2020;060789195;060785011;VACAN;;;;1;1;;;;;;
DIALYSE;2020;060791860;060790797;112AX;;;;2;0;0;;;;;
DIALYSE;2020;060791860;060790797;112BA;;;;28;166;25338;;;;;
DIALYSE;2020;060791860;060790797;1130X;;;;16;71;10701;;;;;
DIALYSE;2020;060791860;060790797;1150A;;;;1;0;0;;;;;
DIALYSE;2020;060791860;060790797;TOT;0;;;;;;0;1;;68;
DIALYSE;2020;060792090;060790540;1150A;;;;3;3;880;;;;;
DIALYSE;2020;060792090;060790540;1210;;;;;27;;;;1478;;
DIALYSE;2020;060792090;060790540;121AA;;;;;19;;;;843;;
DIALYSE;2020;060792090;060790540;121CA;;;;12;8;;;;592;;
DIALYSE;2020;060792090;060790540;121CE;;;;1;0;;;;43;;
DIALYSE;2020;060792090;060790540;TOT;0;;;;;;;;;83;12
DIALYSE;2020;060792736;060790540;1140X;;;;10;36;5406;;;;;
DIALYSE;2020;060792736;060790540;VACAN;;;;;;156;;;;;
DIALYSE;2020;060792900;060790797;1140X;;;;12;19;2772;;;;;
DIALYSE;2020;060792900;060790797;TOT;0;;;;;;;0;;2;
DIALYSE;2020;060792926;920033636;112AX;;;;;;1;;;;;
DIALYSE;2020;060792926;920033636;112BA;;;;19;80;13230;;;;;
DIALYSE;2020;060792926;920033636;TOT;0;;;;;;1617;1;;27;0
DIALYSE;2020;060801016;060790540;1140X;;;;5;16;2535;;;;;
DIALYSE;2020;070000179;070780358;112BA;;;;13;57;8139;;;;;
DIALYSE;2020;070000179;070780358;1130X;;;;8;25;4452;;;;;
DIALYSE;2020;070000179;070780358;122AX;;;;1;;;;;1;;
DIALYSE;2020;070000179;070780358;122BA;;;;2;;;;;49;;
DIALYSE;2020;070000179;070780358;TOT;0;;;;;;1544;;;;
DIALYSE;2020;070004726;380793802;112BA;;;;12;34;5240;;;;;
DIALYSE;2020;070004726;380793802;1130X;;;;6;12;1595;;;;;
DIALYSE;2020;070004726;380793802;1210;;;;;6;;;;340;;
DIALYSE;2020;070004726;380793802;121AA;;;;;3;;;;189;;
DIALYSE;2020;070004726;380793802;121CA;;;;3;3;;;;151;;
DIALYSE;2020;070004726;380793802;122AX;;;;1;0;;;;78;;
DIALYSE;2020;070004726;380793802;122BA;;;;1;0;;;;5;;
DIALYSE;2020;070004726;380793802;TOT;0;;;;;;;1;;12;0
DIALYSE;2020;070786231;690796552;1140X;;;;6;14;1606;;;;;
DIALYSE;2020;070786231;690796552;TOT;0;;;;;;;1;;;
DIALYSE;2020;070786249;690796552;112AX;;;;2;2;253;;;;;
DIALYSE;2020;070786249;690796552;1130X;;;;4;8;1127;;;;;
DIALYSE;2020;070786249;690796552;1140X;;;;6;8;1417;;;;;
DIALYSE;2020;070786249;690796552;1150A;;;;2;1;253;;;;;
DIALYSE;2020;070786249;690796552;1210;;;;;13;;;;533;;
DIALYSE;2020;070786249;690796552;121AA;;;;;5;;;;210;;
DIALYSE;2020;070786249;690796552;121CA;;;;12;8;;;;323;;
DIALYSE;2020;070786249;690796552;TOT;0;;;;;;;;;;
DIALYSE;2020;080000425;080011174;112AX;;;;2;1;229;;;;;
DIALYSE;2020;080000425;080011174;112BA;;;;23;87;12193;;;;;
DIALYSE;2020;080000425;080011174;1150A;;;;2;2;;;;;;
DIALYSE;2020;080000425;080011174;122AX;;;;1;;;;;1;;
DIALYSE;2020;080000425;080011174;TOT;0;;;;;;863;3;;44;5
DIALYSE;2020;080005846;510000953;1140X;;;;12;9;1371;;;;;
DIALYSE;2020;080005846;510000953;TOT;0;;;;;;;1;;;
DIALYSE;2020;080006034;510000953;1140X;;;;12;15;2437;;;;;
DIALYSE;2020;080006034;510000953;TOT;0;;;;;;;1;;;
DIALYSE;2020;080008568;510000953;1130X;;;;10;36;5628;;;;;
DIALYSE;2020;080008568;510000953;1150A;;;;2;2;357;;;;;
DIALYSE;2020;080008568;510000953;1210;;;;;16;;;;3148;;
DIALYSE;2020;080008568;510000953;121AA;;;;;12;;;;2341;;
DIALYSE;2020;080008568;510000953;121CA;;;;4;4;;;;807;;
DIALYSE;2020;080008568;510000953;TOT;0;;;;;;;1;;11;8
DIALYSE;2020;090000175;090781774;112BA;;;;12;54;7479;;;;;
DIALYSE;2020;090000175;090781774;122AX;;;;1;;;;;19;;
DIALYSE;2020;090000175;090781774;122BA;;;;1;;;;;11;;
DIALYSE;2020;090000175;090781774;TOT;0;;;;;;857;2;;;
DIALYSE;2020;090002833;310000633;1130X;;;;9;31;4333;;;;;
DIALYSE;2020;090002833;310000633;1140X;;;;3;13;1689;;;;;
DIALYSE;2020;090002833;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2020;090784125;310000633;1140X;;;;6;12;1837;;;;;
DIALYSE;2020;090784125;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2020;090784679;310000633;1140X;;;;6;10;2218;;;;;
DIALYSE;2020;090784679;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2020;100000090;100000017;112AX;;;;1;;106;;;;;
DIALYSE;2020;100000090;100000017;112BA;;;;20;87;12282;;;;;
DIALYSE;2020;100000090;100000017;1210;;;;;;;;;78;;
DIALYSE;2020;100000090;100000017;121AA;;;;;;;;;78;;
DIALYSE;2020;100000090;100000017;122AX;;;;1;;;;;78;;
DIALYSE;2020;100000090;100000017;122BA;;;;1;1;;;;843;;
DIALYSE;2020;100000090;100000017;TOT;0;;;;;;2360;1;;52;15
DIALYSE;2020;100005958;510000953;1140X;;;;12;16;2541;;;;;
DIALYSE;2020;100005958;510000953;TOT;0;;;;;;;1;;;
DIALYSE;2020;100006550;510000953;1130X;;;;15;42;6823;;;;;
DIALYSE;2020;100006550;510000953;1140X;;;;16;40;5841;;;;;
DIALYSE;2020;100006550;510000953;1150A;;;;2;2;288;;;;;
DIALYSE;2020;100006550;510000953;1210;;;;;38;;;;1955;;
DIALYSE;2020;100006550;510000953;121AA;;;;;31;;;;1576;;
DIALYSE;2020;100006550;510000953;121CA;;;;7;7;;;;379;;
DIALYSE;2020;100006550;510000953;TOT;0;;;;;;;1;;29;18
DIALYSE;2020;110000023;110780061;112AX;;;;3;0;43;;;;;
DIALYSE;2020;110000023;110780061;112BA;;;;24;97;13255;;;;;
DIALYSE;2020;110000023;110780061;122AX;;;;1;;;;;50;;
DIALYSE;2020;110000023;110780061;122BA;;;;1;;;;;16;;
DIALYSE;2020;110000023;110780061;TOT;0;;;;;;1104;2;;50;6
DIALYSE;2020;110004413;340000264;1140X;;;;10;31;3641;;;;;
DIALYSE;2020;110004421;340000264;1140X;;;;6;21;2966;;;;;
DIALYSE;2020;110005311;340000264;112AX;;;;1;0;130;;;;;
DIALYSE;2020;110005311;340000264;1130X;;;;7;43;6396;;;;;
DIALYSE;2020;110005311;340000264;1140X;;;;2;6;925;;;;;
DIALYSE;2020;110005311;340000264;TOT;0;;;;;;0;1;;0;0
DIALYSE;2020;110007259;110000114;1130X;;;;8;26;3860;;;;;
DIALYSE;2020;110007259;110000114;VACAN;;;;;0;131;;;;;
DIALYSE;2020;110780228;110000114;112AX;;;;2;1;495;;;;;
DIALYSE;2020;110780228;110000114;112BA;;;;20;71;11292;;;;;
DIALYSE;2020;110780228;110000114;1210;;;;;0;;;;19;;
DIALYSE;2020;110780228;110000114;121AA;;;;;0;;;;16;;
DIALYSE;2020;110780228;110000114;121CA;;;;3;0;;;;3;;
DIALYSE;2020;110780228;110000114;122AX;;;;3;0;;;;3;;
DIALYSE;2020;110780228;110000114;122BA;;;;3;16;;;;52;;
DIALYSE;2020;110780228;110000114;TOT;0;;;;;;612;2;;47;10
DIALYSE;2020;110780228;110000114;VACAN;;;;1;0;95;;;;;
DIALYSE;2020;120000039;120780044;112BA;;;;16;74;9412;;;;;
DIALYSE;2020;120000039;120780044;1210;;;;;;;;;6;;
DIALYSE;2020;120000039;120780044;121CA;;;;0;;;;;6;;
DIALYSE;2020;120000039;120780044;122AX;;;;0;;;;;45;;
DIALYSE;2020;120000039;120780044;122BA;;;;0;9;;;;0;;
DIALYSE;2020;120000039;120780044;TOT;0;;;;;;790;1;;;3
DIALYSE;2020;120001748;340000264;112AX;;;;3;8;1716;;;;;
DIALYSE;2020;120001748;340000264;1130X;;;;11;38;5293;;;;;
DIALYSE;2020;120001748;340000264;1140X;;;;1;1;141;;;;;
DIALYSE;2020;120001748;340000264;TOT;0;;;;;;0;1;;7;0
DIALYSE;2020;120005228;310000633;1140X;;;;12;31;4745;;;;;
DIALYSE;2020;120005228;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2020;120007786;310000633;1130X;;;;3;6;579;;;;;
DIALYSE;2020;120007786;310000633;1140X;;;;9;11;2284;;;;;
DIALYSE;2020;120007786;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2020;130000409;130041916;112BA;;;;20;196;10749;;;;;
DIALYSE;2020;130000409;130041916;122AX;;;;1;0;;;;8;;
DIALYSE;2020;130000409;130041916;122BA;;;;1;0;;;;14;;
DIALYSE;2020;130000409;130041916;TOT;0;;;;;;1327;;;60;
DIALYSE;2020;130002835;130789316;112AX;;;;1;0;122;;;;;
DIALYSE;2020;130002835;130789316;112BA;;;;16;69;9977;;;;;
DIALYSE;2020;130002835;130789316;1130X;;;;16;44;6247;;;;;
DIALYSE;2020;130002835;130789316;122AX;;;;2;0;;;;2;;
DIALYSE;2020;130002835;130789316;122BA;;;;1;;;;;52;;
DIALYSE;2020;130002835;130789316;TOT;0;;;;;;715;;;57;6
DIALYSE;2020;130008287;130006810;1140X;;;;20;45;6457;;;;;
DIALYSE;2020;130008287;130006810;TOT;0;;;;;;0;;;10;0
DIALYSE;2020;130024268;130050545;112AX;;;;1;0;175;;;;;
DIALYSE;2020;130024268;130050545;112BA;;;;7;21;3458;;;;;
DIALYSE;2020;130024268;130050545;1130X;;;;6;18;2917;;;;;
DIALYSE;2020;130024268;130050545;TOT;0;;;;;;0;2;;11;0
DIALYSE;2020;130034002;130006562;1130X;;;;23;58;9583;;;;;
DIALYSE;2020;130034002;130006562;1140X;;;;1;8;124;;;;;
DIALYSE;2020;130034002;130006562;TOT;0;;;;;;0;;;25;
DIALYSE;2020;130034002;130006562;VACAN;;;;;0;34;;;;;
DIALYSE;2020;130034044;130006562;1130X;;;;10;45;6753;;;;;
DIALYSE;2020;130034044;130006562;1140X;;;;2;10;1373;;;;;
DIALYSE;2020;130034044;130006562;TOT;0;;;;;;0;;;18;
DIALYSE;2020;130034044;130006562;VACAN;;;;;0;73;;;;;
DIALYSE;2020;130034093;130006562;1130X;;;;13;44;7774;;;;;
DIALYSE;2020;130034093;130006562;1140X;;;;1;5;760;;;;;
DIALYSE;2020;130034093;130006562;1150A;;;;3;3;755;;;;;
DIALYSE;2020;130034093;130006562;TOT;0;;;;;;0;;;11;
DIALYSE;2020;130034093;130006562;VACAN;;;;;0;12;;;;;
DIALYSE;2020;130034531;130006562;112BA;;;;24;132;22046;;;;;
DIALYSE;2020;130034531;130006562;1130X;;;;4;13;418;;;;;
DIALYSE;2020;130034531;130006562;TOT;0;;;;;;0;;;;
DIALYSE;2020;130034531;130006562;VACAN;;;;;0;139;;;;;
DIALYSE;2020;130034556;130016058;1140X;;;;12;7;1139;;;;;
DIALYSE;2020;130034556;130016058;TOT;0;;;;;;;;;1;
DIALYSE;2020;130034614;130006810;1140X;;;;15;38;5997;;;;;
DIALYSE;2020;130034614;130006810;1150A;;;;11;11;2886;;;;;
DIALYSE;2020;130034614;130006810;1210;;;;;31;;;;1682;;
DIALYSE;2020;130034614;130006810;121AA;;;;;12;;;;647;;
DIALYSE;2020;130034614;130006810;121CA;;;;10;19;;;;1035;;
DIALYSE;2020;130034614;130006810;122AX;;;;0;0;;;;138;;
DIALYSE;2020;130034614;130006810;TOT;0;;;;;;0;0;;26;26
DIALYSE;2020;130035223;130001415;1140X;;;;3;3;399;;;;;
DIALYSE;2020;130035959;130006810;112AX;;;;2;2;1192;;;;;
DIALYSE;2020;130035959;130006810;1130X;;;;16;38;5154;;;;;
DIALYSE;2020;130036650;130016058;1140X;;;;12;19;3115;;;;;
DIALYSE;2020;130036650;130016058;TOT;0;;;;;;;;;4;
DIALYSE;2020;130038003;130029218;112AX;;;;1;0;125;;;;;
DIALYSE;2020;130038003;130029218;112BA;;;;25;115;17246;;;;;
DIALYSE;2020;130038003;130029218;1130X;;;;16;27;6870;;;;;
DIALYSE;2020;130038003;130029218;1140X;;;;1;0;345;;;;;
DIALYSE;2020;130038003;130029218;1150A;;;;1;1;16;;;;;
DIALYSE;2020;130038003;130029218;1210;;;;;11;;;;584;;
DIALYSE;2020;130038003;130029218;121AA;;;;;6;;;;248;;
DIALYSE;2020;130038003;130029218;121CA;;;;8;5;;;;336;;
DIALYSE;2020;130038003;130029218;122AX;;;;3;3;;;;352;;
DIALYSE;2020;130038003;130029218;TOT;0;;;;;;0;;;67;5
DIALYSE;2020;130044845;130016058;1140X;;;;12;32;4672;;;;;
DIALYSE;2020;130044845;130016058;TOT;0;;;;;;;;;8;
DIALYSE;2020;130050396;130006810;1140X;;;;1;3;816;;;;;
DIALYSE;2020;130781867;130000813;1130X;;;;20;23;4343;;;;;
DIALYSE;2020;130781867;130000813;TOT;0;;;;;;0;;;8;
DIALYSE;2020;130783236;130786049;112BA;;;;72;182;26837;;;;;
DIALYSE;2020;130783236;130786049;122AX;;;;1;8;;;;322;;
DIALYSE;2020;130783236;130786049;TOT;0;;;;;;2139;;;81;9
DIALYSE;2020;130783327;130001415;112BA;;;;40;153;21961;;;;;
DIALYSE;2020;130783327;130001415;1130X;;;;8;8;1085;;;;;
DIALYSE;2020;130783327;130001415;1140X;;;;3;3;450;;;;;
DIALYSE;2020;130783327;130001415;1150A;;;;1;1;180;;;;;
DIALYSE;2020;130783327;130001415;1210;;;;;10;;;;1379;;
DIALYSE;2020;130783327;130001415;121AA;;;;;6;;;;840;;
DIALYSE;2020;130783327;130001415;121CA;;;;1;4;;;;539;;
DIALYSE;2020;130783327;130001415;122AX;;;;1;0;;;;137;;
DIALYSE;2020;130783327;130001415;122BA;;;;1;2;;;;308;;
DIALYSE;2020;130783327;130001415;TOT;0;;;;;;739;;;78;7
DIALYSE;2020;130784481;130006562;112AX;;;;1;1;10;;;;;
DIALYSE;2020;130784481;130006562;112BA;;;;68;284;47704;;;;;
DIALYSE;2020;130784481;130006562;1130X;;;;4;8;789;;;;;
DIALYSE;2020;130784481;130006562;1210;;;;;5;;;;340;;
DIALYSE;2020;130784481;130006562;121AA;;;;;5;;;;340;;
DIALYSE;2020;130784481;130006562;TOT;1;2;89;;;;0;;;109;
DIALYSE;2020;130784481;130006562;VACAN;;;;;0;311;;;;;
DIALYSE;2020;130804297;130786049;112BE;;;;6;7;1073;;;;;
DIALYSE;2020;130804297;130786049;1210;;;;;1;;;;;;
DIALYSE;2020;130804297;130786049;121CE;;;;1;1;;;;;;
DIALYSE;2020;130804297;130786049;122AX;;;;1;;;;;;;
DIALYSE;2020;130804297;130786049;122BE;;;;2;;;;;;;
DIALYSE;2020;130804297;130786049;TOT;0;;;;;;278;;;2;1
DIALYSE;2020;130806029;130050545;112AX;;;;1;0;94;;;;;
DIALYSE;2020;130806029;130050545;1130X;;;;13;28;4007;;;;;
DIALYSE;2020;130806029;130050545;1140X;;;;5;9;1561;;;;;
DIALYSE;2020;130806029;130050545;TOT;0;;;;;;0;1;;9;0
DIALYSE;2020;130806078;130016058;112AX;;;;2;2;329;;;;;
DIALYSE;2020;130806078;130016058;1130X;;;;24;88;12540;;;;;
DIALYSE;2020;130806078;130016058;1150A;;;;16;16;3920;;;;;
DIALYSE;2020;130806078;130016058;1210;;;;;1;;;;23;;
DIALYSE;2020;130806078;130016058;121AA;;;;;1;;;;23;;
DIALYSE;2020;130806078;130016058;TOT;0;;;;;;0;0;;23;
DIALYSE;2020;130806417;130006810;1140X;;;;8;4;825;;;;;
DIALYSE;2020;130809809;130007156;112AX;;;;2;0;23;;;;;
DIALYSE;2020;130809809;130007156;112BA;;;;24;128;15962;;;;;
DIALYSE;2020;130809809;130007156;1130X;;;;12;61;6533;;;;;
DIALYSE;2020;130809809;130007156;1140X;;;;6;9;746;;;;;
DIALYSE;2020;130809809;130007156;1150A;;;;1;;;;;;;
DIALYSE;2020;130809809;130007156;TOT;0;;;;;;0;;;;
DIALYSE;2020;140000027;140000035;112AX;;;;1;;0;;;;;
DIALYSE;2020;140000027;140000035;112BA;;;;15;79;9221;;;;;
DIALYSE;2020;140000027;140000035;1130X;;;;4;4;509;;;;;
DIALYSE;2020;140000027;140000035;122AX;;;;1;;;;;71;;
DIALYSE;2020;140000027;140000035;122BA;;;;1;;;;;17;;
DIALYSE;2020;140000027;140000035;TOT;0;;;;;;713;;;;
DIALYSE;2020;140000209;140000100;112AX;;;;2;5;809;;;;;
DIALYSE;2020;140000209;140000100;112BA;;;;24;96;14550;;;;;
DIALYSE;2020;140000209;140000100;1130X;;;;8;20;1890;;;;;
DIALYSE;2020;140000209;140000100;1210;;;;;48;;;;;;
DIALYSE;2020;140000209;140000100;121AA;;;;;17;;;;;;
DIALYSE;2020;140000209;140000100;121CA;;;;;31;;;;;;
DIALYSE;2020;140000209;140000100;122AX;;;;2;1;;;;;;
DIALYSE;2020;140000209;140000100;122BA;;;;2;8;;;;97;;
DIALYSE;2020;140000209;140000100;122BE;;;;;;;;;13;;
DIALYSE;2020;140000209;140000100;TOT;0;;;;;;2064;4;;112;24
